time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision,episode
30,Material Delivery,52.53159491598172,3,RED,0.1,True,False,60
45,Packaging Preparation,67.1224777968778,4,RED,0.1,True,False,60
0,Rest Period,29.22557397343982,2,GREEN,5.0,False,False,61
15,HMI Supervision,39.1864440465391,2,ORANGE,2.0,False,False,61
30,Material Delivery,52.51533754705646,3,RED,0.1,True,False,61
45,Packaging Preparation,68.44880942691381,4,RED,0.1,True,False,61
0,Rest Period,28.268342451930778,2,GREEN,5.0,False,False,62
15,HMI Supervision,39.27187601533977,2,ORANGE,2.0,False,False,62
30,Material Delivery,53.774747197454865,3,RED,0.1,True,False,62
45,Packaging Preparation,69.21333084573398,4,RED,0.1,True,False,62
0,Rest Period,28.532148360365625,2,GREEN,5.0,False,False,63
15,HMI Supervision,39.40811200119825,2,ORANGE,2.0,False,False,63
30,Material Delivery,54.61305375928272,3,RED,0.1,True,False,63
45,Packaging Preparation,71.02711653823661,4,RED,0.1,True,False,63
0,Rest Period,29.179421341553976,2,GREEN,5.0,False,False,64
15,HMI Supervision,38.31531086846742,2,ORANGE,2.0,False,False,64
30,Material Delivery,51.92064366205718,3,RED,0.1,True,False,64
45,Packaging Preparation,69.53480003715815,4,RED,0.1,True,False,64
0,Rest Period,28.295681167069073,2,GREEN,5.0,False,False,65
15,HMI Supervision,39.29020910667643,2,ORANGE,2.0,False,False,65
30,Material Delivery,54.184146192820506,3,RED,0.1,True,False,65
45,Packaging Preparation,69.96071679532442,4,RED,0.1,True,False,65
0,Rest Period,26.892140046258923,2,GREEN,5.0,False,False,66
15,HMI Supervision,37.57107107461038,2,ORANGE,2.0,False,False,66
30,Material Delivery,52.90668785004657,3,RED,0.1,True,False,66
45,Packaging Preparation,69.82013745277601,4,RED,0.1,True,False,66
0,Rest Period,28.962579689668043,2,GREEN,5.0,False,False,67
15,HMI Supervision,38.91317340164133,2,ORANGE,2.0,False,False,67
30,Material Delivery,54.12997576769317,3,RED,0.1,True,False,67
45,Packaging Preparation,69.30891917335929,4,RED,0.1,True,False,67
0,Rest Period,28.358314707595106,2,GREEN,5.0,False,False,68
15,HMI Supervision,37.63156546791636,2,ORANGE,2.0,False,False,68
30,Material Delivery,51.638223953437944,3,RED,0.1,True,False,68
45,Packaging Preparation,67.75294879200744,4,RED,0.1,True,False,68
0,Rest Period,28.185476849201407,2,GREEN,5.0,False,False,69
15,HMI Supervision,38.99255059054468,2,ORANGE,2.0,False,False,69
30,Material Delivery,51.92145307792197,3,RED,0.1,True,False,69
45,Packaging Preparation,68.79044366863428,4,RED,0.1,True,False,69
0,Rest Period,28.582648194738972,2,GREEN,5.0,False,False,70
15,HMI Supervision,37.901754860668376,2,ORANGE,2.0,False,False,70
30,Material Delivery,51.43489414973878,3,RED,0.1,True,False,70
45,Packaging Preparation,67.13899753450892,4,RED,0.1,True,False,70
0,Rest Period,29.104854192628686,2,GREEN,5.0,False,False,71
15,HMI Supervision,39.18297306583991,2,ORANGE,2.0,False,False,71
30,Material Delivery,52.84432742851625,3,RED,0.1,True,False,71
45,Packaging Preparation,70.0575149335933,4,RED,0.1,True,False,71
0,Rest Period,27.128861785224792,2,GREEN,5.0,False,False,72
15,HMI Supervision,37.16301553431467,2,ORANGE,2.0,False,False,72
30,Material Delivery,50.99900429421942,3,RED,0.1,True,False,72
45,Packaging Preparation,67.02530837593653,4,RED,0.1,True,False,72
